Load,Actuator,Time,Strain
105.32,7.131944,15.034,0.001898
105.1775,7.138889,15.101,0.001907
104.8983,7.138889,15.168,0.001915
104.6362,7.138889,15.234,0.001928
104.3172,7.138889,15.301,0.001932
103.9349,7.138889,15.368,0.001935
103.6146,7.138889,15.434,0.00194
103.3655,7.138889,15.501,0.001938
103.3845,7.138889,15.568,0.001942
103.8369,7.138889,15.634,0.001956
104.7022,7.145833,15.701,0.001962
105.2478,7.145833,15.768,0.001978
105.4681,7.152778,15.834,0.001998
105.4536,7.152778,15.901,0.002011
105.2549,7.159722,15.968,0.002023
104.5478,7.159722,16.034,0.002035
103.5053,7.159722,16.101,0.002033
102.3345,7.152778,16.168,0.002024
102.1652,7.152778,16.234,0.00203
102.2094,7.152778,16.301,0.002032
102.9123,7.152778,16.368,0.002034
104.3571,7.152778,16.434,0.002052
105.5516,7.166666,16.501,0.002072
105.9896,7.166666,16.568,0.002095
105.6859,7.173611,16.634,0.00212
105.0393,7.173611,16.701,0.00213
103.7031,7.173611,16.768,0.00213
101.8037,7.166666,16.834,0.002121
100.6752,7.166666,16.901,0.00211
100.4108,7.159722,16.968,0.002109
101.0748,7.159722,17.034,0.002115
102.6841,7.166666,17.101,0.002124
104.3337,7.173611,17.168,0.002143
105.6763,7.180556,17.234,0.002168
106.1255,7.1875,17.301,0.00219
105.7754,7.1875,17.368,0.00221
105.1486,7.1875,17.434,0.002224
103.5945,7.1875,17.501,0.002221
101.7071,7.180556,17.568,0.002208
100.5855,7.173611,17.634,0.002203
100.4609,7.173611,17.701,0.0022
101.0751,7.173611,17.768,0.002203
102.6506,7.173611,17.834,0.002219
104.3057,7.180556,17.901,0.002233
105.6811,7.194445,17.968,0.002258
106.2386,7.201389,18.034,0.002283
105.8693,7.201389,18.101,0.002298
105.3417,7.201389,18.168,0.002309
104.2042,7.201389,18.234,0.002312
102.3362,7.201389,18.301,0.002302
101.2233,7.194445,18.368,0.002293
100.785,7.194445,18.434,0.002294
101.121,7.1875,18.501,0.002293
102.8676,7.194445,18.568,0.002307
104.6462,7.201389,18.634,0.002329
105.944,7.208333,18.701,0.002349
