Load,Actuator,Time,Strain
108.6259,7.965278,19.757,0.002511341
107.8854,7.965278,19.823,0.002530132
105.924,7.965278,19.89,0.002524039
103.8386,7.958333,19.957,0.002512893
102.7512,7.951389,20.023,0.002506496
102.162,7.944444,20.09,0.002496224
102.9333,7.944444,20.157,0.00250402
104.4776,7.951389,20.223,0.002517716
105.9842,7.951389,20.29,0.002528274
107.5529,7.965278,20.357,0.002548321
108.4056,7.972222,20.423,0.002572372
108.4934,7.972222,20.49,0.002586819
108.3643,7.972222,20.557,0.002613241
107.3212,7.979167,20.623,0.002628063
105.0943,7.972222,20.69,0.002613558
103.5122,7.965278,20.757,0.0026043
102.6547,7.965278,20.823,0.002598528
102.6494,7.958333,20.89,0.002591722
103.8867,7.958333,20.957,0.002605376
105.5525,7.965278,21.023,0.002621486
107.0312,7.972222,21.09,0.002635687
108.2528,7.979167,21.157,0.002658646
108.6033,7.986112,21.223,0.002687405
108.2368,7.986112,21.29,0.002704368
107.4368,7.986112,21.357,0.002719395
105.5217,7.986112,21.423,0.002713728
103.3848,7.979167,21.49,0.002695919
102.5096,7.972222,21.557,0.002689962
102.3308,7.972222,21.623,0.002691711
102.7748,7.972222,21.69,0.00268749
104.326,7.972222,21.757,0.002702596
106.4168,7.979167,21.823,0.002722875
108.1953,7.993056,21.89,0.002744037
108.9383,8,21.957,0.002778227
108.6128,8,22.023,0.002806772
107.6589,8,22.09,0.00281512
105.3732,8,22.157,0.002811142
102.9711,7.986112,22.223,0.002793954
101.6829,7.979167,22.29,0.00278081
101.565,7.979167,22.357,0.002781355
102.0089,7.979167,22.423,0.002787128
103.3977,7.979167,22.49,0.002791891
105.4333,7.986112,22.557,0.002813567
107.1731,8,22.623,0.002830145
108.2701,8.006944,22.69,0.002851303
108.5193,8.006944,22.757,0.002876717
108.399,8.006944,22.823,0.002897729
107.3848,8.013889,22.89,0.002908054
105.0733,8.006944,22.957,0.002899786
103.4038,8,23.023,0.002889282
102.3102,7.993056,23.09,0.002877816
102.42,7.993056,23.157,0.002881334
103.2218,7.993056,23.223,0.002887356
104.9237,8,23.29,0.002894447
106.687,8.006944,23.357,0.002915948
108.1375,8.013889,23.423,0.002939152
108.717,8.020833,23.49,0.002960291
108.6043,8.020833,23.557,0.002987859
108.1243,8.020833,23.623,0.003008686
106.4286,8.020833,23.69,0.003005449
103.7958,8.013889,23.757,0.002990262
102.2461,8.006944,23.823,0.002981198
101.5398,8,23.89,0.002969793
102.1597,8,23.957,0.002975848
103.6323,8,24.023,0.002989188
105.2969,8.006944,24.09,0.003000676
106.9761,8.020833,24.157,0.003019777
108.1787,8.027778,24.223,0.003043671
108.6087,8.027778,24.29,0.00306017
108.3683,8.034722,24.357,0.003083886
107.4014,8.034722,24.423,0.003098496
105.5106,8.034722,24.49,0.00309032
103.8781,8.027778,24.557,0.003081141
103.0802,8.020833,24.623,0.003074979
102.7758,8.020833,24.69,0.003070706
103.0801,8.020833,24.757,0.003074362
104.4371,8.020833,24.823,0.003083749
106.5513,8.027778,24.89,0.003100905
108.4481,8.034722,24.957,0.003131308
109.257,8.048611,25.023,0.003169227
108.6662,8.048611,25.09,0.003194752
107.1227,8.048611,25.157,0.003209718
104.3393,8.041667,25.223,0.003193558
102.0061,8.027778,25.29,0.003172228
100.833,8.020833,25.357,0.003165219
100.8114,8.020833,25.423,0.003164648
101.3996,8.020833,25.49,0.003162806
103.0432,8.020833,25.557,0.00317953
104.9114,8.027778,25.623,0.003199104
106.5886,8.041667,25.69,0.003209143
107.7417,8.048611,25.757,0.003231099
108.2319,8.048611,25.823,0.003252356
108.2431,8.055556,25.89,0.003269874
107.5591,8.055556,25.957,0.003285097
106.1188,8.055556,26.023,0.003283824
104.5343,8.048611,26.09,0.003270934
103.5609,8.048611,26.157,0.003266164
103.4553,8.041667,26.223,0.003267436
104.2324,8.041667,26.29,0.003268627
105.8652,8.048611,26.357,0.003282636
107.3618,8.055556,26.423,0.003303037
108.5079,8.0625,26.49,0.003323414
109.039,8.069444,26.557,0.003354253
108.6218,8.069444,26.623,0.003385553
107.2223,8.069444,26.69,0.00339296
104.7152,8.0625,26.757,0.003381242
102.6458,8.055556,26.823,0.003367097
101.5258,8.048611,26.89,0.003353813
101.2024,8.048611,26.957,0.003355608
101.4547,8.048611,27.023,0.003356794
102.7838,8.048611,27.09,0.003362611
105.1472,8.055556,27.157,0.003385032
107.2501,8.0625,27.223,0.003408382
108.5747,8.069444,27.29,0.003434255
108.754,8.076389,27.357,0.003465627
108.2606,8.076389,27.423,0.003488658
106.3191,8.076389,27.49,0.003488048
103.5183,8.0625,27.557,0.003470912
101.6193,8.055556,27.623,0.003457891
100.924,8.055556,27.69,0.003448317
100.9067,8.055556,27.757,0.003450678
101.721,8.055556,27.823,0.003455175
103.5352,8.055556,27.89,0.003467578
105.9325,8.069444,27.957,0.003488676
107.7503,8.076389,28.023,0.003513144
108.5238,8.083333,28.09,0.003535846
108.7098,8.090278,28.157,0.00356611
107.6077,8.090278,28.223,0.003585485
105.3042,8.083333,28.29,0.003571079
103.3535,8.076389,28.357,0.003559789
102.3513,8.069444,28.423,0.003554252
102.023,8.069444,28.49,0.003546081
102.2796,8.069444,28.557,0.003550501
103.4897,8.069444,28.623,0.003561468
105.4542,8.076389,28.69,0.003574974
107.286,8.083333,28.757,0.003595429
108.5138,8.090278,28.823,0.003621987
108.6954,8.097222,28.89,0.003646069
108.2676,8.097222,28.957,0.003670432
106.863,8.097222,29.023,0.00368202
104.4294,8.090278,29.09,0.00366069
102.7199,8.083333,29.157,0.003649264
101.9065,8.076389,29.223,0.003646662
102.107,8.076389,29.29,0.003641578
103.3041,8.076389,29.357,0.003652479
104.9854,8.083333,29.423,0.00366876
106.6273,8.090278,29.49,0.00368072
108.007,8.097222,29.557,0.003704952
108.5785,8.104167,29.623,0.003732099
108.5197,8.104167,29.69,0.003751546
108.0954,8.104167,29.757,0.003771871
106.5114,8.104167,29.823,0.003776012
103.8567,8.097222,29.89,0.003752596
102.2331,8.090278,29.957,0.00374291
101.6375,8.090278,30.023,0.003740753
101.5983,8.090278,30.09,0.003734398
102.6715,8.090278,30.157,0.003742987
104.7856,8.090278,30.223,0.003762795
107.1856,8.104167,30.29,0.003781829
108.8226,8.111111,30.357,0.003815922
109.2049,8.118056,30.423,0.003851216
108.4224,8.125,30.49,0.003875069
105.9543,8.118056,30.557,0.003873331
103.356,8.111111,30.623,0.003857582
101.421,8.097222,30.69,0.003837699
100.8768,8.097222,30.757,0.003832666
100.8158,8.097222,30.823,0.003835322
101.5289,8.097222,30.89,0.003834971
103.3172,8.097222,30.957,0.003852672
105.6194,8.111111,31.023,0.003874339
107.393,8.118056,31.09,0.003890648
108.4781,8.125,31.157,0.0039193
108.6335,8.125,31.223,0.003945463
108.2589,8.131945,31.29,0.003961332
106.0384,8.125,31.357,0.003960845
103.9243,8.118056,31.423,0.00394884
102.4428,8.111111,31.49,0.003934097
102.0468,8.111111,31.557,0.003932836
102.1193,8.111111,31.623,0.003936174
103.0579,8.111111,31.69,0.003937752
104.9921,8.111111,31.757,0.003956633
107.0823,8.125,31.823,0.003981821
108.4443,8.131945,31.89,0.004001147
108.7391,8.138889,31.957,0.004036359
108.3146,8.138889,32.023,0.004058957
106.7243,8.138889,32.09,0.00406056
104.1922,8.131945,32.157,0.004047838
102.4028,8.125,32.223,0.004035428
101.6905,8.118056,32.29,0.004026323
101.7106,8.118056,32.357,0.004027659
102.4729,8.118056,32.423,0.004033934
104.1173,8.118056,32.49,0.004045357
106.08,8.131945,32.557,0.004063373
107.6626,8.138889,32.623,0.004088035
108.5206,8.145833,32.69,0.004108053
108.4697,8.145833,32.757,0.004132349
108.051,8.145833,32.823,0.004152715
106.6006,8.145833,32.89,0.004154466
104.2142,8.138889,32.957,0.004139422
102.6569,8.131945,33.023,0.004130418
102.0269,8.131945,33.09,0.004121817
101.9964,8.131945,33.157,0.004123301
102.8587,8.131945,33.223,0.00413158
104.7384,8.131945,33.29,0.004140332
107.0741,8.145833,33.357,0.004166659
108.6604,8.152777,33.423,0.004198988
108.9844,8.159722,33.49,0.00422994
108.483,8.159722,33.557,0.004257001
106.6547,8.159722,33.623,0.004264769
103.5957,8.145833,33.69,0.004241667
101.4316,8.138889,33.757,0.00422374
100.4893,8.131945,33.823,0.004217267
100.5525,8.131945,33.89,0.004214152
101.6512,8.131945,33.957,0.004221989
103.4304,8.138889,34.023,0.00423972
